ID,Event Type,X,Y,Selector,Content,Timestamp,Created At
314764,mousemove,409,2,#app > div.survey-wrapper,,2026-03-21 08:10:54 UTC,2026-03-21 08:10:54 UTC
314765,mousemove,496,345,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section,,2026-03-21 08:10:54 UTC,2026-03-21 08:10:54 UTC
314766,mousemove,463,363,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body,,2026-03-21 08:10:54 UTC,2026-03-21 08:10:54 UTC
314767,scroll,,,,,2026-03-21 08:10:54 UTC,2026-03-21 08:10:55 UTC
314768,mousemove,460,364,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body,,2026-03-21 08:10:55 UTC,2026-03-21 08:10:55 UTC
314769,mousemove,509,293,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper,,2026-03-21 08:10:55 UTC,2026-03-21 08:10:55 UTC
314770,mousemove,528,282,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:10:55 UTC,2026-03-21 08:10:56 UTC
314771,mousemove,528,281,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:10:57 UTC,2026-03-21 08:10:57 UTC
314772,mousemove,520,284,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:10:59 UTC,2026-03-21 08:10:59 UTC
314773,slider,,,.native-slider-1,,2026-03-21 08:10:59 UTC,2026-03-21 08:11:00 UTC
314774,slider,,,.native-slider-1,,2026-03-21 08:10:59 UTC,2026-03-21 08:11:00 UTC
314775,slider,,,.native-slider-1,,2026-03-21 08:10:59 UTC,2026-03-21 08:11:00 UTC
314776,slider,,,.native-slider-1,,2026-03-21 08:10:59 UTC,2026-03-21 08:11:00 UTC
314777,slider,,,.native-slider-1,,2026-03-21 08:11:00 UTC,2026-03-21 08:11:00 UTC
314778,mousemove,1080,280,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:00 UTC,2026-03-21 08:11:00 UTC
314779,slider,,,.native-slider-1,,2026-03-21 08:11:00 UTC,2026-03-21 08:11:00 UTC
314780,slider,,,.native-slider-1,,2026-03-21 08:11:00 UTC,2026-03-21 08:11:00 UTC
314781,mousemove,1169,274,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container.disabled > input.native-slider,,2026-03-21 08:11:00 UTC,2026-03-21 08:11:00 UTC
314782,scroll,,,,,2026-03-21 08:11:00 UTC,2026-03-21 08:11:00 UTC
314783,mousemove,799,329,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > label.question-label,,2026-03-21 08:11:01 UTC,2026-03-21 08:11:01 UTC
314784,mousemove,604,331,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > label.question-label,,2026-03-21 08:11:01 UTC,2026-03-21 08:11:01 UTC
314785,mousemove,538,371,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:01 UTC,2026-03-21 08:11:02 UTC
314786,mousemove,531,370,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:02 UTC,2026-03-21 08:11:02 UTC
314787,mousemove,528,370,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:03 UTC,2026-03-21 08:11:03 UTC
314788,mousemove,526,372,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:11 UTC,2026-03-21 08:11:12 UTC
314789,mousemove,544,375,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:12 UTC,2026-03-21 08:11:12 UTC
314790,mousemove,559,375,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:12 UTC,2026-03-21 08:11:12 UTC
314791,slider,,,.native-slider-2,,2026-03-21 08:11:12 UTC,2026-03-21 08:11:12 UTC
314792,mousemove,603,371,#app > div.survey-wrapper > div.behavior-tracker-root > div.survey-page > main.survey-body > div.survey-section > div.slider-container > div.slider-bar-wrapper > div.slider-input-container > input.native-slider,,2026-03-21 08:11:13 UTC,2026-03-21 08:11:13 UTC
